symbol,date,side,price,pf_w
PIKK,2010-12-22,SELL,133.57,0.4
SIBN,2010-12-22,BUY,128.98,0.316262166289396
GAZP,2010-12-23,SELL,196.01,0.4
ISKJ,2010-12-23,SELL,13.082,0.08
SBER,2010-12-23,BUY,106.99,0.04
SIBN,2010-12-23,SELL,128.66,0.316262166289396
SBERP,2010-12-24,SELL,77.3,0.556277074651061
SBER,2010-12-28,SELL,104.47,0.04
ROSN,2011-01-11,BUY,225.08,0.04
SIBN,2011-01-11,BUY,130.38,0.356262166289396
GAZP,2011-01-12,BUY,200.64,0.4
LKOH,2011-01-12,BUY,1866,0.04
PIKK,2011-01-12,BUY,129.8,0.4
SBER,2011-01-12,BUY,107.08,0.04
SBERP,2011-01-12,BUY,77.1,0.4
GAZP,2011-01-13,SELL,197.4,0.4
SBERP,2011-01-13,SELL,75.94,0.4
SIBN,2011-01-13,SELL,132.5,0.316262166289396
PIKK,2011-01-17,SELL,131.85,0.4
SBER,2011-01-17,BUY,109.57,0.544859175138705
SIBN,2011-01-17,BUY,137.18,0.316262166289396
ISKJ,2011-01-18,BUY,13.01,0.08
SIBN,2011-01-18,SELL,136.72,0.316262166289396
ISKJ,2011-01-19,SELL,12.951,0.08
SBER,2011-01-20,SELL,105.21,0.584859175138705
ISKJ,2011-01-21,BUY,13.278,0.08
ISKJ,2011-01-24,SELL,13.148,0.08
LKOH,2011-01-24,SELL,1884,0.04
SIBN,2011-01-24,SELL,132.43,0.04
ISKJ,2011-01-25,BUY,13.419,0.08
SBER,2011-01-26,BUY,108.6,0.04
GAZP,2011-01-27,BUY,201.3,0.4
ISKJ,2011-01-27,SELL,13.225,0.08
SIBN,2011-01-27,BUY,133.75,0.316262166289396
GAZP,2011-01-28,SELL,199.7,0.4
SIBN,2011-01-28,SELL,132.85,0.316262166289396
SBER,2011-01-31,SELL,105.9,0.04
GAZP,2011-02-01,BUY,204.91,0.4
ISKJ,2011-02-01,BUY,13.294,0.04
SIBN,2011-02-01,BUY,134.87,0.356262166289396
ISKJ,2011-02-02,SELL,13.223,0.04
LKOH,2011-02-02,BUY,1955,0.04
GAZP,2011-02-03,SELL,207.03,0.4
SIBN,2011-02-03,SELL,136.1,0.316262166289396
GAZP,2011-02-04,BUY,213.3,0.4
ISKJ,2011-02-04,BUY,13.312,0.08
ISKJ,2011-02-07,SELL,13.2,0.08
GAZP,2011-02-08,SELL,210.4,0.4
PIKK,2011-02-08,BUY,126.01,0.4
ROSN,2011-02-08,SELL,252.92,0.04
SIBN,2011-02-08,BUY,138.3,0.316262166289396
GAZP,2011-02-09,BUY,215.15,0.4
ISKJ,2011-02-09,BUY,14.109,0.08
GAZP,2011-02-10,SELL,208.22,0.4
ISKJ,2011-02-10,SELL,13.4,0.08
LKOH,2011-02-10,SELL,1893.98,0.04
SIBN,2011-02-10,SELL,136,0.316262166289396
PIKK,2011-02-14,SELL,133.5,0.4
ISKJ,2011-02-16,BUY,13.216,0.04
SIBN,2011-02-16,SELL,137.19,0.04
ISKJ,2011-02-17,SELL,13.148,0.04
SIBN,2011-02-17,BUY,139.05,0.356262166289396
ISKJ,2011-02-18,BUY,13.319,0.08
PIKK,2011-02-18,BUY,136.95,0.4
ISKJ,2011-02-21,SELL,13.259,0.08
ROSN,2011-02-21,BUY,263.1,0.04
GAZP,2011-02-24,BUY,208.05,0.4
LKOH,2011-02-24,BUY,1993,0.04
PIKK,2011-02-24,SELL,135.1,0.4
SIBN,2011-02-25,SELL,153.62,0.316262166289396
ISKJ,2011-02-28,BUY,13.215,0.04
PIKK,2011-02-28,BUY,144.49,0.4
SBER,2011-02-28,BUY,102.1,0.04
SBERP,2011-02-28,BUY,70.7,0.4
SIBN,2011-02-28,BUY,156.15,0.316262166289396
GAZP,2011-03-01,SELL,209.48,0.4
ISKJ,2011-03-01,SELL,13.114,0.04
PIKK,2011-03-01,SELL,143.5,0.4
SBERP,2011-03-01,SELL,69.85,0.4
SIBN,2011-03-01,SELL,151.49,0.316262166289396
GAZP,2011-03-02,BUY,212,0.4
LKOH,2011-03-03,SELL,2035,0.04
PIKK,2011-03-03,BUY,145.49,0.4
ROSN,2011-03-03,SELL,269,0.04
SBER,2011-03-03,SELL,101.99,0.04
GAZP,2011-03-04,SELL,212.9,0.4
LKOH,2011-03-04,BUY,2049.1,0.04
PIKK,2011-03-04,SELL,144.18,0.4
GAZP,2011-03-05,BUY,214.12,0.4
ISKJ,2011-03-05,BUY,13,0.04
SIBN,2011-03-05,BUY,154.03,0.316262166289396
SIBN,2011-03-05,SELL,154.03,0.04
ISKJ,2011-03-09,SELL,12.947,0.04
SBER,2011-03-09,BUY,102.91,0.04
SIBN,2011-03-09,BUY,156.03,0.04
GAZP,2011-03-10,SELL,207.95,0.4
SIBN,2011-03-10,SELL,150.29,0.316262166289396
LKOH,2011-03-11,SELL,1991.5,0.04
GAZP,2011-03-14,BUY,216.25,0.4
SBER,2011-03-14,SELL,97.1,0.04
SIBN,2011-03-16,SELL,144.75,0.04
SBERP,2011-03-17,BUY,68.08,0.4
SIBN,2011-03-17,BUY,146.8,0.316262166289396
GAZP,2011-03-18,SELL,224.1,0.4
